DurationTime,ZeroCrossRate,StartTime,EndTime,EntropyTime,LocalMaxMean,PeakToPeak,RmsTime,StartToMax,BandWidth,MaxFreq,MinFreq,PeakFreq,PeaksAbove,Category
0,0.0025,0.0016,0.0,0.0025,0,0.21,1.4561,0.22,0.0013,54.68,102.53,47.85,72.26,1,B. nana
1,0.0025,0.0016,0.0,0.0025,0,0.25,1.7667,0.27,0.0017,54.68,102.53,47.85,72.26,2,B. nana
2,0.002,0.002,0.0,0.002,0,0.25,1.4024,0.23,0.001,101.56,101.56,0.0,73.24,3,B. nana
3,0.0025,0.0016,0.0,0.0025,0,0.17,1.3394,0.19,0.0015,105.46,105.46,0.0,75.19,2,B. nana
4,0.0025,0.0016,0.0,0.0025,0,0.1,0.8106,0.08999999999999998,0.0011,105.46,105.46,0.0,76.17,3,B. nana
5,0.002,0.002,0.0,0.002,0,0.14,1.0625,0.13,0.0009,106.44,106.44,0.0,71.28,3,B. nana
6,0.002,0.002,0.0,0.002,0,0.08,0.667,0.08,0.0008,76.17,101.56,25.39,70.31,2,B. nana
7,0.0025,0.0016,0.0,0.0025,0,0.14,1.1929,0.14,0.001,105.46,105.46,0.0,76.17,3,B. nana
8,0.0025,0.0016,0.0,0.0025,0,0.1,0.8433,0.1,0.0011,78.12,103.51,25.39,51.75,2,B. nana
9,0.0025,0.0016,0.0,0.0025,0,0.15,0.895,0.13,0.0016,95.7,95.7,0.0,67.38,2,B. nana
10,0.0025,0.0016,0.0,0.0025,0,0.19,1.1792,0.18,0.0016,99.6,99.6,0.0,67.38,2,B. nana
11,0.0025,0.0016,0.0,0.0025,0,0.16,1.0464,0.16,0.0015,102.53,102.53,0.0,76.17,2,B. nana
12,0.0025,0.0016,0.0,0.0025,0,0.17,1.0127,0.16,0.0015,97.65,97.65,0.0,66.4,3,B. nana
13,0.0025,0.0016,0.0,0.0025,0,0.15,0.895,0.13,0.0016,95.7,95.7,0.0,67.38,2,B. nana
14,0.0025,0.0016,0.0,0.0025,0,0.19,1.1792,0.18,0.0016,99.6,99.6,0.0,67.38,2,B. nana
15,0.0025,0.0016,0.0,0.0025,0,0.16,1.0464,0.16,0.0015,102.53,102.53,0.0,76.17,2,B. nana
16,0.0025,0.0016,0.0,0.0025,0,0.17,1.0127,0.16,0.0015,97.65,97.65,0.0,66.4,3,B. nana
17,0.0035,0.0011,0.0,0.0035,0,0.18,1.1245,0.16,0.0024,123.04,123.04,0.0,66.4,6,B. nana
18,0.003,0.0013,0.0,0.003,0,0.26,1.4834,0.23,0.002,93.75,93.75,0.0,67.38,2,B. nana
19,0.0025,0.0016,0.0,0.0025,0,0.2,0.9556,0.16,0.0013,117.18,117.18,0.0,66.4,3,B. nana
20,0.003,0.0013,0.0,0.003,0,0.18,0.9668000000000002,0.15,0.0019,97.65,97.65,0.0,62.5,5,B. nana
21,0.003,0.0013,0.0,0.003,0,0.15,0.8579,0.13,0.0019,117.18,117.18,0.0,63.47,4,B. nana
22,0.003,0.0013,0.0,0.003,0,0.17,0.8731,0.15,0.0021,91.79,91.79,0.0,64.45,5,B. nana
23,0.0035,0.0011,0.0,0.0035,0,0.09,0.5073,0.08,0.0013,50.78,77.14,26.36,57.61,3,B. nana
24,0.0035,0.0011,0.0,0.0035,0,0.12,0.7041,0.11,0.0014,42.96,83.98,41.01,55.66,3,B. nana
25,0.0035,0.0011,0.0,0.0035,0,0.14,0.8477,0.12,0.0014,87.89,87.89,0.0,52.73,3,B. nana
26,0.003,0.0013,0.0,0.003,0,0.15,0.9087,0.13,0.001,89.84,89.84,0.0,55.66,5,B. nana
27,0.003,0.0013,0.0,0.003,0,0.1,0.6001,0.08999999999999998,0.0011,38.08,79.1,41.01,54.68,2,B. nana
28,0.0045,0.0009,0.0,0.0045,0,0.09,0.6104,0.08,0.0011,83.0,109.37,26.36,54.68,3,B. nana
29,0.003,0.0013,0.0,0.003,0,0.11,0.6587,0.1,0.0011,80.07,106.44,26.36,53.71,4,B. nana
30,0.006,0.0007,0.0,0.006,0,0.07,0.8223,0.07,0.001,105.46,105.46,0.0,52.73,9,B. nana
31,0.004,0.001,0.0,0.004,0,0.1,0.7714999999999999,0.1,0.001,40.03,66.4,26.36,52.73,3,B. nana
32,0.005,0.0008,0.0,0.005,0,0.14,1.3462,0.14,0.0014,102.53,102.53,0.0,54.68,5,B. nana
33,0.0045,0.0009,0.0,0.0045,0,0.2,1.8038,0.2,0.0011,66.4,104.49,38.08,53.71,2,B. nana
34,0.0065,0.0006,0.0,0.0065,0,0.11,1.5611,0.14,0.0016,107.42,107.42,0.0,49.8,7,B. nana
35,0.0055,0.0007,0.0,0.0055,0,0.04,0.3477,0.04,0.0025,115.23,118.16,2.92,46.87,7,B. nana
